# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:a                      3:proper time [Gyr]      4:conf. time [Mpc]       5:H [1/Mpc]              6:comov. dist.           7:ang.diam.dist.         8:lum. dist.             9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)number_ncdm[0]     14:(.)rho_ncdm[0]        15:(.)p_ncdm[0]          16:(.)number_ncdm[1]     17:(.)rho_ncdm[1]        18:(.)p_ncdm[1]          19:(.)number_ncdm[2]     20:(.)rho_ncdm[2]        21:(.)p_ncdm[2]          22:(.)rho_lambda         23:(.)rho_ur             24:(.)rho_crit           25:(.)rho_tot            26:(.)p_tot              27:(.)p_tot_prime        28:gr.fac. D             29:gr.fac. f          
       8.697823467967e+13       1.149712918045e-14       9.990105935536e-26       5.327819962986e-09       1.632396991553e+22       1.414308953673e+04       1.626049274145e-10       1.230140960821e+18       3.076268056477e-09       1.574785573594e+44       1.634854413218e+33       8.770960980899e+33       1.320361961590e+29       6.334645306189e-13       1.208490953094e+43       1.320361961590e+29       6.334645306189e-13       1.208490953094e+43       1.320361961590e+29       6.334645306189e-13       1.208490953094e+43       3.454055557132e-08       2.292506549332e+41       2.664719938032e+44       2.664719938032e+44       8.882399793093e+43      -6.668152212295e+52       1.575918829495e-06       7.167828077816e+00 
       8.637361934426e+13       1.157760908472e-14       1.013045693382e-25       5.366018740460e-09       1.609781175814e+22       1.414308953673e+04       1.637431619064e-10       1.221589831997e+18       3.097801932872e-09       1.531452550306e+44       1.600997568494e+33       8.589319691251e+33       1.293018065063e+29       6.334645306189e-13       1.175237177157e+43       1.293018065063e+29       6.334645306189e-13       1.175237177157e+43       1.293018065063e+29       6.334645306189e-13       1.175237177157e+43       3.454055557132e-08       2.229424158081e+41       2.591395434007e+44       2.591395434007e+44       8.637984779682e+43      -6.439589032332e+52       1.654714770969e-06       6.826502931254e+00 
       8.577320689599e+13       1.165865234831e-14       1.027277972329e-25       5.402398528531e-09       1.587478687731e+22       1.414308953673e+04       1.648893640397e-10       1.213098144982e+18       3.119486546402e-09       1.489311912151e+44       1.567841878520e+33       8.411440082698e+33       1.266240444072e+29       6.334645306189e-13       1.142898437952e+43       1.266240444072e+29       6.334645306189e-13       1.142898437952e+43       1.266240444072e+29       6.334645306189e-13       1.142898437952e+43       3.454055557132e-08       2.168077590915e+41       2.520088583999e+44       2.520088583999e+44       8.400295279665e+43      -6.218860275696e+52       1.733510712444e-06       6.516207343469e+00 
       8.517696811915e+13       1.174026291475e-14       1.041710200562e-25       5.440597306006e-09       1.565485186348e+22       1.414308953673e+04       1.660435895880e-10       1.204665486576e+18       3.141322952227e-09       1.448330848536e+44       1.535372822803e+33       8.237244253103e+33       1.240017371393e+29       6.334645306189e-13       1.111449556620e+43       1.240017371393e+29       6.334645306189e-13       1.111449556620e+43       1.240017371393e+29       6.334645306189e-13       1.111449556620e+43       3.454055557132e-08       2.108419083552e+41       2.450743868675e+44       2.450743868675e+44       8.169146228590e+43      -6.005697403119e+52       1.812306653919e-06       6.232893980709e+00 
       8.458487400115e+13       1.182244475515e-14       1.056345187170e-25       5.478796083480e-09       1.543796390853e+22       1.414308953673e+04       1.672058947151e-10       1.196291446451e+18       3.163312212892e-09       1.408477451704e+44       1.503576181565e+33       8.066655913634e+33       1.214337362667e+29       6.334645306189e-13       1.080866047139e+43       1.214337362667e+29       6.334645306189e-13       1.080866047139e+43       1.214337362667e+29       6.334645306189e-13       1.080866047139e+43       3.454055557132e-08       2.050402186026e+41       2.383307296411e+44       2.383307296411e+44       7.944357654384e+43      -5.799841080011e+52       1.891102595393e-06       5.973190064846e+00 
       8.399689573103e+13       1.190520186844e-14       1.071185780704e-25       5.516994860955e-09       1.522408079741e+22       1.414308953673e+04       1.683763359781e-10       1.187975617131e+18       3.185455398382e-09       1.369720691902e+44       1.472438029508e+33       7.899600355357e+33       1.189189171368e+29       6.334645306189e-13       1.051124097265e+43       1.189189171368e+29       6.334645306189e-13       1.051124097265e+43       1.189189171368e+29       6.334645306189e-13       1.051124097265e+43       3.454055557132e-08       1.993981726525e+41       2.317726361261e+44       2.317726361261e+44       7.725754537223e+43      -5.601040860951e+52       1.969898536868e-06       5.734262462252e+00 
       8.341300469814e+13       1.198853828152e-14       1.086234869737e-25       5.555193638429e-09       1.501316089993e+22       1.414308953673e+04       1.695549703300e-10       1.179717593973e+18       3.207753586171e-09       1.332030393213e+44       1.441944729722e+33       7.736004416511e+33       1.164561783880e+29       6.334645306189e-13       1.022200549990e+43       1.164561783880e+29       6.334645306189e-13       1.022200549990e+43       1.164561783880e+29       6.334645306189e-13       1.022200549990e+43       3.454055557132e-08       1.939113776221e+41       2.253950002072e+44       2.253950002072e+44       7.513166673266e+43      -5.409054884999e+52       2.048694478343e-06       5.513713906012e+00 
       8.283317249071e+13       1.207245804949e-14       1.101495383422e-25       5.595211405307e-09       1.480516316266e+22       1.414308953673e+04       1.707418551223e-10       1.171516975147e+18       3.230207861274e-09       1.295377210063e+44       1.412082927705e+33       7.575796450475e+33       1.140444414670e+29       6.334645306189e-13       9.940728855126e+42       1.140444414670e+29       6.334645306189e-13       9.940728855126e+42       1.140444414670e+29       6.334645306189e-13       9.940728855126e+42       3.454055557132e-08       1.885755615064e+41       2.191928562730e+44       2.191928562730e+44       7.306428542132e+43      -5.223649581438e+52       2.127490419817e-06       5.309502279863e+00 
       8.225737089444e+13       1.215696525583e-14       1.116970292064e-25       5.633410182782e-09       1.460004710094e+22       1.414308953673e+04       1.719370481081e-10       1.163373361616e+18       3.252819316303e-09       1.259732604377e+44       1.382839545522e+33       7.418906294383e+33       1.116826501570e+29       6.334645306189e-13       9.667192037031e+42       1.116826501570e+29       6.334645306189e-13       9.667192037031e+42       1.116826501570e+29       6.334645306189e-13       9.667192037031e+42       3.454055557132e-08       1.833865698523e+41       2.131613753497e+44       2.131613753497e+44       7.105379178029e+43      -5.044599385622e+52       2.206286361292e-06       5.119877198439e+00 
       8.168557189121e+13       1.224206401262e-14       1.132662607697e-25       5.673427949660e-09       1.439777279100e+22       1.414308953673e+04       1.731406074449e-10       1.155286357116e+18       3.275589051517e-09       1.225068823353e+44       1.354201776072e+33       7.265265238400e+33       1.093697701146e+29       6.334645306189e-13       9.401182070534e+42       1.093697701146e+29       6.334645306189e-13       9.401182070534e+42       1.093697701146e+29       6.334645306189e-13       9.401182070534e+42       3.454055557132e-08       1.783403625239e+41       2.072958613413e+44       2.072958613413e+44       6.909862044423e+43      -4.871686464545e+52       2.285082302766e-06       4.943329708838e+00 
